Datum;Namn;Aktivitet;Dricka;Mat;Fixa;Förbered
20210101;Nyårsdagen;"Att göra: 
* Skåla i Champagne vid 12-slaget
* Kommer Ivanhoe äntligen välja rätt?
* Luncha på chips och beställ pizza ";Bubbel, Loka, Öl, lättdryck;Fryspizza, chips;;
20210106;Trettondagen;"Raska ut granen genom fönstret! 
(Glöm inte tjugan)";Julmust, öl;;;
20210113;Tjugonda Knut;"Raska ut granen… 
Hoppsan redan gjort
* Fattömning på julmaten
* Häll upp det sista av julmust och julöl";;Godis;;
20210205;Semladagen;Njut en semla;;Semla;;
20210214;Alla Härtans dag;"Hjärta godiset 
Kramas!";;Gelehjärtan;;
20210222;Sportlov!;"Snö i backen, hål i nacken
Jäger och varm choklad i baren!";Jäger och varm choklad;;;
20210307;Vasaloppet;"Heja heja!
* Drick blåbärssoppa i Mångsbodarna
* Snyt dig i Risberg
* Andas ut i Oxberg, den som kommit dit kommer i mål!";Blåbärssoppa;;;
20210314;Pi-dagen;"Att göra: 
* Reflektera över Archimedes
* Ät en pi-rog";;Pirog;;
20210331;Yndelonsdag;;;;;
20210401;Skärtorsdag;;;;;
20210402;Långfredag;Ha tråkigt och ät fisk (eller inte);;;;
20210403;..;"Att göra:
* Fira påsk
* Ät påskmacka med snaps
* Leta påskägg";Snaps, öl;Påskmacka;Påskägg;
20210430;Valborgsmäss;"Sjung! Vintern rasat ut bland våra fjällar, drivans blommot smälta ner och dö
Himlen ler i vårens ljusa kvällar, solen kysser liv i skog och sjö!";Bubbel;;Studentmössa;
20210501;Första maj;Ut och demonstrera!;;;Demonstrationsplakat;
20210502;Inkomstdeklarationen;Gör ääääääntligen klart och skicka in!;;;;
20210517;Suttonde maj;Norges Nationaldag, vi hurrar för grannarna;;;;
20210530;Mors dag;Pussa värdens bästa mamma;;;;
20210602;Grillfest;Vackert väder, vi slutar tidigare och grillar!;Öl, Loka, lättdryck;Grillspett och potatissallad (Oxfilé med potatisgratäng);;
20210605;Danmarks nationaldag;Danmark fyller år, ta en Gammeldansk;Gammeldansk;;;
20210606;Sveriges Nationaldag;"Sjung ut! ""Du gamla du fria, du fjällhöga ko ….";Öl, Loka, lättdryck;;Flagga;
20210614;FotbollsEM;Sverige spelar mot Spanien, på med tröjan och heja;;;Sverigetröja;
20210626;Midsommarafton;"Att göra:
* Blomsterkrans på huvudet
* Sill, nypotatis, snaps och jordgubbe
* Sång";Snaps, öl, Loka, lättdryck;Sill och köttbullar, jordgubbar;Flagga;
20210630;Pilsnerkorvens dag;"Vi firar med att käka en Pilsnerkorv
Alternativt korv + pilsner";;Pilsnerkorv;;
20210705;Älgösemester;"Vi åker till Älgö! 
* Smutta på rosé
* Grillkorv";Rosé;Grillad korv;;
20210711;Fotbolls EM;Final, Heja Sverige - av med tröjan efteråt;;;;
20210803;Bröllopsdag;Pussa en make/maka! Champagne!;Bubbel;;;
20210815;Sista sommalovsdagen;ÅÅNNNNGGGGEEEEESSSTT;;;;
20210816;Skolan startar;Fort! Vad är x om 3x = 9?;;;;
20210825;Pizzahäng på Österlen;Vi åker till stranden på kvällen med pizza;Vitt vin i burk;Pizza;;
20210830;Kräftskiva;"Att göra:
* Ät en räka eller två
* Snaps? Så klart!
* Sjung";Öl och Snaps;Räkor;;
20211015;Tråkhöst;"Det är tråkigt i rusket, ta en sista minuten till Las Palmas
* Gå till Viking Bar
* Tapas och Sangria";Sangria;Tapas;Solhatt och solglasögon;
20211031;Halloween;Skräms!;;;Läskiga glasen;
20211114;Fars dag;Wohoooo! Pussa pappa;;;Slips;
20211128;Första advent;"Mys-pys med ljus och saffransbulle
Tänd första ljuset";Glögg;Saffransbulle;Ljus;
20211205;Andra advent;"Mys-pys med två ljus
Tänd det andra ljuset";;;Ljus;
20211210;Nobeldagen;Vi tar emot våra Nobelpris och tittar på klänningarna på TV;;;Nobelpris;
20211212;Tredje advent;"Mys-pys med tre ljus
Tänd det tredje ljuset";;;Ljus;
20211213;Lucia;"På med särkar! 
Sjung och tåga runt bordet! ""Natten går tunga fjät…""
";;;;
20211219;Fjärde advent;"Mys-pys med fyra ljus
Tänd det fjärde ljuset ";;;Ljus;
20211223;Dagen före;"Att göra:
* Ta en glögg
* Rimstuga: Rimma på ett par strumpbyxor till Kajsa";;;;
20211224;Julafton;"Att göra:
* Se på Kalle
* Julklappsutdelning
* Julmat
* Bedöm rimmen till Kajsas strumpbyxor";Julmust, öl;Köttbullar, sill;Klappar;
20211225;Juldagen;Chilla;;;;
20211226;Annandag Jul;Chill i dill;;;;
20211228;Jerringpriset;Rösta på främsta idrottsprestationen, ska kusarna ta hem det i år igen?;;;;
20211231;Nyårsafton;"Att göra:
* Spela turbofest
* Ring klocka ring!
* Drick skumpa
* Panga på raketerna";Bubbel;Efterrätt;;
20210102;Världsdagen för introverta;;;;;
20210103;Internationella JRR Tolkien-dagen;;;;;
20210115;Tulpanens dag;;;;;
20210119;Internationella popcorndagen;"Käka popcorn
Fira också ""Sten Stures ben""-dagen med en köttbulle (kanonkula)";;;;
20210121;Kramens dag;Improvisera :-);;;;
20210203;Andningens dag;;;;;
20210205;Nutella-dagen;Meka en (liten) Nutella-macka om du vill som du kan äta i morgon;;;;
20210206;Semikolonets dag;;;;;
20210211;Internationella 112-dagen;;;;;
20210218;Fotens dag;Klappa en fot!;;;;
20210220;Slarvighetens dag ;;;;;
20210301;Krama en bibliotekarie-dagen;;;;;
20210304;Fössta Tossdan i Mass;Fira Smålands nationaldag med en 'bäss';;;;
20210312;Alla korvars dag;;;;;
20210317;Saint Patrick's day;;;;;
20210321;Rocka sockorna-dagen;Byt en strumpa med den till vänster!;;;;
20210322;Kennethdagen;;;;;
20210331;Världsbackupdagen;;;;;
20210406;Pingisens dag;;;;;
20210409;Internationella gin och tonic-dagen;;;;;
20210421;Internationella sekreterardagen;;;;;
20210426;Promenadens dag;Tag en sväng runt bordet;;;;
20210427;Världstapirdagen ;;;;;
20210502;Harry potter-dagen ;;;;;
20210504;Star wars-dagen;;;;;
20210507;Byxfria dagen;;;;;
20210512;Kristi himmelsfärdsafton;;;;;
20210514;Rumpans dag ;;;;;
20210518;Fascinerande växters dag;;;;;
20210519;Nationella mag-och tarmdagen;Riv av en brakare!;;;;
20210525;Internationella nörddagen;;;;;
20210527;Ostens dag;;;;;
20210528;Den stressfria dagen;;;;;
20210601;Mobilfria dagen;;;;;
20210607;Punkens dag;Riv av en brakare!;;;;
20210609;Internationella arkivdagen;;;;;
20210612;Världsstickningsdagen;;;;;
20210613;Internationella dagen för medvetenhet om albinism;;;;;
20210615;Chaufförens dag;;;;;
20210619;Internationella flanerardagen;;;;;
20210621;Långsamhetens dag;;;;;
20210706;Internationella kyssdagen ;Kyss någon som vill bli kysst;;;;
20210712;Fulhetens dag ;Var osnygg;;;;
20210718;Skånska flaggans dag;Flagga om du kan;;;;
20210721;Ölets dag;Skål;;;;
20210722;Approximativa pi-dagen;Den du, 22/7;;;;
20210724;Drive-thru dagen;;;;;
20210726;Esperantodagen;;;;;
20210731;Dagen för ovanliga instrument;;;;;
20210806;Internationella dagen för frisk andedräkt;;;;;
20210808;Kräftpremiär;;;;;
20210809;Internationella dagen för världens ursprungsfolk ;;;;;
20210813;Vänsterhäntas dag;;;;;
20210816;Berätta ett skämt-dagen;Dra en vits;;;;
20210819;Surströmmingspremiär;Nope, ingen surströmming på det här partyt;;;;
20210822;Internationella müslidagen;;;;;
20210824;Årsdagen av Plutos degradering;;;;;
20210901;Fluortantens dag;;;;;
20210907;Stora duchennesdagen ;;;;;
20210911;Kebabens dag;;;;;
20210916;Internationella dagen för bevarande av ozonskiktet *;;;;;
20210917;Höga klackars dag;;;;;
20210918;Surkålens dag ;;;;;
20210919;Internationella piratdagen;Prata som en pirat, hela dagen;;;;
20210924;Skiljetecknets dag;;;;;
20210929;Alla soffpotatisars dag;;;;;
20211003;Alla pojkvänners dag;;;;;
20211104;Kanelbullens dag;;;;;
20211107;Elmotorns dag;;;;;
20211011;Internationella komma-ut-dagen ;;;;;
20211012;Ada Lovelace-dagen;;;;;
20210115;Alla chefers dag;Heja mamma!;;;;
20211016;Alla broars dag;;;;;
20211019;Nationella dagen för Strävhårig foxterrier;;;;;
20211022;INTERNATIONELLA CAPS LOCK-DAGEN;;;;;
20211029;Internets dag ;;;;;
20211105;Guy Fawkes Day;;;;;
20211107;Kladdkakans dag;;;;;
20211111;Grön flagg-dagen;;;;;
20211113;Smörgåstårtans dag ;;;;;
20211121;Smörgåstårtans dag ;;;;;
20211126;Black Friday;Stå emot frestelse och lureri;;;;
20211129;Vinylskivans dag;;;;;
20211203;Drick en öl-dagen;;;;;
20211209;Läkarsekreterarens dag ;;;;;
20211221;Vintersolståndet;;;;;
